title,price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp
Premium cottage Vernieuwd,€539,2 pers.,1 Slaapkamer,Van vr. 17 tot ma. 20 mrt.,44m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:06"
Comfort cottage Vernieuwd,€769,6 pers.,4 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,65m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:07"
Comfort cottage Vernieuwd,€529,3 pers.,2 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,56 m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:07"
Comfort cottage Vernieuwd,€569,4 pers.,2 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,65m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:08"
VIP cottage Vernieuwd,€589,2 pers.,1 Slaapkamer,Van vr. 17 tot ma. 20 mrt.,59m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:08"
Premium cottage Vernieuwd,€599,4 pers.,2 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,62m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:09"
VIP cottage Vernieuwd,€619,4 pers.,2 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,68m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:09"
Premium Kindercottage Vernieuwd,€809,4 pers.,2 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,65m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:10"
Premium cottage Vernieuwd,€649,5 pers.,3 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,65m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:10"
Premium cottage Vernieuwd,€809,6 pers.,3 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,68m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:11"
Premium cottage Vernieuwd,€849,6 pers.,3 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,104m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:11"
VIP cottage Vernieuwd,€999,6 pers.,3 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,103m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:12"
VIP cottage Vernieuwd,€1149,6 pers.,3 Slaapkamers,Van vr. 17 tot ma. 20 mrt.,103 m²,"Nederland, Limburg Nederland, America",Het Meerdal,"13-03-2023, 09:26:12"
